Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score,Type_of_Loan_No Data,Type_of_Loan_Others,Type_of_Loan_auto loan,Type_of_Loan_credit-builder loan,Type_of_Loan_debt consolidation loan,Type_of_Loan_home equity loan,Type_of_Loan_mortgage loan,Type_of_Loan_not specified,Type_of_Loan_payday loan,Type_of_Loan_personal loan,Type_of_Loan_student loan,Payment_Behaviour_High_spent_Large_value_payments,Payment_Behaviour_High_spent_Medium_value_payments,Payment_Behaviour_High_spent_Small_value_payments,Payment_Behaviour_Low_spent_Large_value_payments,Payment_Behaviour_Low_spent_Medium_value_payments,Payment_Behaviour_Low_spent_Small_value_payments
46.0,19267.27,1374.605833333333,10.0,8.0,25.0,6.0,33.0,21.0,18.7,9.0,0,3777.55,130.0,1,78.95482525642049,14.840035799013652,253.4856221964669,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37.0,35862.37,3172.5308333333337,4.0,2.0,7.0,2.0,4.0,2.0,1.74,4.0,2,546.87,201.0,0,51.64576548301262,21.38091449690023,441.70214137884216,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.0,73366.36,5950.863333333334,8.0,9.0,27.0,8.0,49.0,17.0,23.68,11.0,0,4029.36,65.0,1,285.3685402526143,47.54179060611907,341.69307014426533,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40.0,17844.81,1309.0675,6.0,5.0,23.0,6.0,20.0,17.0,27.47,7.0,0,3962.26,29.0,1,54.95751568179575,33.658623757734,253.83660298486808,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23.0,80411.04000000001,6694.920000000001,8.0,4.0,11.0,1.0,11.0,10.0,5.71,2.0,2,1413.55,187.0,0,65.7390498502761,57.04056937852865,634.9788773480882,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
42.0,16955.24,1634.523386546429,7.0,5.0,19.0,2.0,11.0,20.0,19.2,4.0,1,714.71,215.0,2,84.64285174667768,18.318780294860552,270.58158581969263,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52.0,32663.41,2879.9508333333333,1.0,5.0,3.0,4.0,3.0,5.0,1.28,1.0,2,1067.3,196.0,0,55.40536573947087,39.11311135470283,433.4766062391597,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40.0,60515.32,5148.943333333334,7.0,6.0,5.0,1.0,7.0,8.0,6.35,7.0,2,1357.57,357.0,0,34.489544685295726,98.51490811488968,593.2841950089887,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35.0,7957.91,563.1591666666667,3.0,3.0,17.0,5.0,23.0,17.0,10.13,4.0,1,818.5,120.0,1,31.461448390614915,16.04162444749442,255.6617472187424,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26.0,30827.58,2426.264717820333,5.0,4.0,6.0,0.0,22.0,16.0,0.65,4.0,2,778.02,321.0,0,384.7002821796678,34.45501874625479,496.64148125374527,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39.0,37756.85,2865.4041666666667,3.0,4.0,11.0,3.0,11.0,12.0,9.31,0.0,2,352.49,400.0,0,83.95989215793658,42.45905175914047,238.3123543481564,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.0,36938.82,2782.235,8.0,6.0,13.0,5.0,22.0,12.0,6.0600000000000005,7.0,1,771.6,139.0,1,112.27276566418269,20.29687608090427,369.4271410239109,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.0,45345.12,3737.76,8.0,7.0,19.0,5.0,30.0,17.0,27.45,11.0,0,3794.13,9.0,1,142.0302559038314,60.34311728363458,303.5963033445118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37.0,21085.67,1919.1391666666664,5.0,7.0,11.0,1.0,30.0,15.0,4.78,6.0,2,1384.38,369.0,0,10.653353593779311,19.704119466631298,221.1399877925085,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,98917.23,8513.1025,1.0,4.0,1.0,2.0,7.0,3.0,7.92,5.0,2,738.81,188.0,0,115.53132469523212,57.61604420095336,345.0275439237656,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33.0,69061.0,5518.083333333332,8.0,6.0,17.0,7.0,25.0,10.0,8.19,7.0,1,233.54,236.0,1,275.74145644477403,68.97068830467478,401.6219710885647,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56.0,35940.94,2718.078333333333,5.0,3.0,11.0,1.0,6.0,10.0,10.86,0.0,2,237.26,363.0,0,17.8429955246548,50.774979815447786,333.6961091228696,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39.0,17815.585,1427.6320833333332,8.0,6.0,18.0,1.0,26.0,11.0,14.18,5.0,1,982.63,365.0,1,13.346551788340271,47.07087295911718,254.069842895933,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14.0,75095.91,6269.9925,5.0,6.0,15.0,6.0,9.0,10.0,13.53,8.0,1,989.71,142.0,1,261.8424087127099,69.94058184228379,215.29309016295468,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26.0,92428.83,7799.4025,5.0,6.0,17.0,0.0,11.0,17.0,11.16,5.0,1,1396.62,314.0,1,0.0,78.66388354630625,283.841668206501,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.0,83386.52,7081.876666666668,10.0,6.0,23.0,7.0,36.0,24.0,22.3,8.0,0,4972.4,75.0,1,482.17978316483214,126.23380470105032,339.7740788007843,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20.0,15508.05,1166.3375,4.0,6.0,10.0,1.0,17.0,12.0,19.31,4.0,1,597.13,342.0,1,6.7501194879651925,13.915962285864737,316.9392418401638,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24.0,67204.1,5333.341666666667,0.0,6.0,12.0,2.0,13.0,4.0,0.78,2.0,2,1085.23,278.0,0,86.31030761486845,64.48887290629222,547.2027504856137,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,135807.12,11446.26,7.0,7.0,12.0,3.0,25.0,19.0,5.1,2.0,1,1032.13,207.0,1,214.3614517900581,151.06167624568258,908.3708892769332,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43.0,79172.08,6389.673333333332,8.0,4.0,14.0,5.0,16.0,14.0,17.11,12.0,1,2519.19,121.0,1,170.10676662884887,77.14161300030906,312.67531612095866,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54.0,41794.32,3347.86,0.0,5.0,7.0,3.0,1.0,12.0,3.78,4.0,2,302.02,316.0,0,89.81563465332981,24.622475126640182,163.00598504324046,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.0,33890.2,2194.187321103021,8.0,4.0,12.0,2.0,5.0,18.0,11.12,7.0,1,1289.03,332.0,1,31.98895746876268,90.40607926555732,383.32329659901336,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36.0,24881.15,2304.429166666667,4.0,6.0,19.0,2.0,8.0,7.0,17.84,8.0,1,931.68,213.0,1,40.173666849441695,30.407876892172222,363.1886065041144,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45.0,122710.12,10368.843333333332,0.0,6.0,3.0,3.0,17.0,12.0,2.74,3.0,2,1025.92,327.0,0,154.9755045243617,125.0866355429858,182.62473704787,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35.0,171462.56,14270.546666666669,4.0,7.0,10.0,3.0,14.0,12.0,7.01,6.0,2,531.58,215.0,0,364.822760704787,149.31729536967129,785.68984948991,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17.0,20049.97,1462.8308333333334,8.0,5.0,17.0,6.0,20.0,15.0,1.75,7.0,0,1794.72,192.0,1,93.3227716993683,0.0,282.57989802965824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28.0,63455.10000000001,5327.925,4.0,6.0,16.0,4.0,25.0,15.0,9.3,0.0,1,419.67,209.0,1,205.60914956417065,64.78812954835087,312.8261999097371,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.0,27880.82,2145.401666666666,4.0,5.0,20.0,4.0,15.0,11.0,13.01,5.0,1,1499.92,192.0,1,51.06157152731232,33.5089229093392,322.696355555887,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31.0,148990.16,12474.846666666665,3.0,7.0,3.0,3.0,15.0,7.0,8.65,2.0,2,407.6,352.0,0,267.36596052619416,143.80549790312585,882.6694411889745,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32.0,16907.7,1212.944230939044,6.0,7.0,24.0,8.0,52.0,22.0,24.0,9.0,0,2887.41,72.0,1,82.04425785301001,23.883015820640907,244.3504003961462,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,35728.36,3136.363333333333,4.0,4.0,7.0,1.0,4.0,16.0,13.03,0.0,1,90.37,299.0,1,28.44768635480066,35.33259648352942,226.2261937792149,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
43.0,19337.16,1463.43,5.0,4.0,17.0,1.0,7.0,18.0,5.9,5.0,1,449.37,226.0,1,14.608879747473724,22.10850286687723,370.3495996332289,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30.0,9765.685,579.8070833333333,5.0,7.0,17.0,4.0,30.0,18.0,10.47,4.0,1,989.35,327.0,0,25.14704536835644,20.10435282952253,292.72931013545434,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,128698.76,10628.896666666666,7.0,5.0,10.0,4.0,6.0,20.0,10.67,12.0,1,583.11,199.0,1,251.6127820563614,136.11757303574092,813.6431579977059,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32.0,152078.0,12435.166666666664,0.0,3.0,6.0,0.0,7.0,15.0,2.64,0.0,2,316.26,311.0,0,0.0,101.68798627118072,396.1568666335887,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27.0,9360.515,531.0429166666668,8.0,6.0,15.0,5.0,51.0,14.0,11.92,12.0,1,2113.29,176.0,1,21.71699904597517,19.832335016558908,280.64770954165687,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40.0,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,23.0,14.0,7.81,4.0,1,2008.06,201.0,1,76.21247400832009,20.96898279881401,290.6817744347797,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45.0,107626.59,9095.8825,3.0,5.0,11.0,3.0,28.0,15.0,11.1,8.0,1,914.63,224.0,1,163.80279430012405,139.87469281027532,589.1758438845959,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45.0,84833.62,6875.468333333332,5.0,1.0,8.0,4.0,4.0,0.0,4.05,2.0,2,557.38,242.0,0,274.9442043933726,47.70831325278164,196.6381230424816,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32.0,94991.82,8144.985,7.0,6.0,13.0,0.0,18.0,16.0,24.45,6.0,1,1320.61,317.0,1,0.0,61.22828959460878,948.5166400238722,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35.0,8940.905,985.556904437737,7.0,9.0,18.0,6.0,34.0,25.0,16.84,9.0,0,2558.29,55.0,1,40.09764912228525,0.0,269.0878904574808,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34.0,35497.94,3063.161666666667,6.0,7.0,17.0,2.0,28.0,13.0,6.86,9.0,0,2284.86,81.0,1,39.33346977712343,43.096381750521466,314.73331410785295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52.0,49937.4,3670.800283726882,3.0,3.0,7.0,2.0,19.0,9.0,19.53,3.0,1,1069.53,194.0,2,455.86731448974336,27.38563891568877,387.1042636564818,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47.0,16609.095,1488.0912500000004,2.0,3.0,4.0,3.0,12.0,4.0,8.81,0.0,2,864.0,272.0,0,22.41100577364052,26.70698357942293,252.1295049263603,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37.0,16685.02,1536.418333333333,9.0,6.0,22.0,5.0,60.0,18.0,7.17,10.0,0,2298.18,120.0,1,35.188053001297945,65.9123555132158,303.9263115758733,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40.0,17594.015,1485.4412227482226,0.0,3.0,11.0,0.0,3.0,10.0,1.52,0.0,2,576.75,341.0,0,171.72669391844386,23.13031138039834,388.21178457252665,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22.0,62223.06,5326.255,7.0,4.0,10.0,3.0,30.0,10.0,15.85,7.0,1,1230.58,377.0,1,120.3581055797648,74.0671259943914,79.76337571728345,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23.0,14128.68,884.3900000000001,4.0,4.0,9.0,2.0,6.0,18.0,14.32,4.0,1,314.56,239.0,1,12.076670221913464,18.828309307257047,278.9001901314375,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48.0,71503.76,5672.6466666666665,3.0,4.0,9.0,3.0,25.0,16.0,7.37,3.0,1,1254.71,327.0,1,110.85058407203132,69.96553799713205,492.1995832652102,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22.0,58053.27,4795.7725,6.0,8.0,28.0,7.0,21.0,22.0,28.49,9.0,0,3771.12,72.0,1,238.05753012785647,92.66160051169128,355.8775289120482,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18.0,15400.91,1206.4091666666666,6.0,5.0,13.0,4.0,5.0,19.0,16.22,6.0,1,854.43,215.0,1,37.176454957234135,14.64827817630472,250.61099062470817,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29.0,14395.83,1027.6525,7.0,7.0,28.0,7.0,28.0,16.0,24.17,14.0,0,2841.0,32.0,1,74.79538225778528,31.94773818431347,280.3486575718252,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20.0,11949.505,774.7920833333333,6.0,6.0,18.0,2.0,20.0,10.0,14.32,3.0,1,664.23,295.0,1,19.88405275701032,18.037254792472407,299.55790078385064,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20.0,68845.08,5570.09,10.0,7.0,20.0,6.0,28.0,20.0,2.7,11.0,0,1498.12,189.0,1,300.2551350813974,46.07901511241481,442.316384798833,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20.0,118875.69,9939.3075,0.0,4.0,12.0,2.0,10.0,5.0,9.5,0.0,2,374.28,375.0,0,99.33992627175422,69.12083911572803,1065.4699846125177,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35.0,43856.38,3870.698333333333,2.0,5.0,6.0,0.0,1.0,12.0,8.69,1.0,2,975.82,190.0,2,0.0,81.23748687233034,442.01101243222615,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24.0,61008.0,5235.0,10.0,5.0,32.0,4.0,14.0,19.0,15.44,17.0,1,1755.81,111.0,1,189.4265306646308,73.60092893712022,460.4672465885896,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38.0,29948.76,2398.73,4.0,3.0,31.0,2.0,23.0,18.0,19.96,11.0,1,2438.57,190.0,1,49.1063879341142,26.910130847244496,325.0005220071252,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28.0,41467.22,3174.601666666667,6.0,10.0,18.0,9.0,62.0,21.0,2.29,15.0,0,1441.4,163.0,1,198.3720163350333,82.35588908899534,201.58444057597168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55.0,58885.7,4656.141666666666,1.0,6.0,2.0,3.0,5.0,11.0,0.9,0.0,2,415.3,289.0,0,105.75507950790954,47.9402156542841,458.7385480611657,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40.0,13351.83,1256.6525,6.0,3.0,13.0,2.0,13.0,14.0,15.48,1.0,1,303.84,278.0,1,13.913944014294458,31.481897595113427,323.24635674949707,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35.0,56952.63,5019.0525,9.0,9.0,27.0,8.0,52.0,22.0,22.88,8.0,0,2637.08,126.0,1,323.2734510725717,36.9460947152629,225.59098646516463,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,7569.055,650.7545833333334,6.0,9.0,30.0,2.0,41.0,14.0,1.1800000000000002,11.0,0,2691.71,151.0,1,7.180053892226407,25.02405939434972,276.0795535456609,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32.0,27339.81,2518.3175,3.0,5.0,9.0,1.0,16.0,14.0,3.82,2.0,1,1342.51,279.0,0,14.668753530353376,22.50128568556787,423.9279223993677,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
45.0,79241.12,6587.426666666666,7.0,5.0,29.0,8.0,42.0,15.0,22.32,10.0,0,2978.35,170.0,1,282.639618203876,54.28548637741811,452.67327420208335,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37.0,73778.52,6146.21,4.0,5.0,14.0,4.0,26.0,20.0,13.75,5.0,1,179.15,290.0,1,233.2360964424541,90.64250725255886,422.5079782666895,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19.0,8934.615,617.55125,8.0,9.0,18.0,7.0,17.0,17.0,22.52,12.0,0,3991.35,133.0,1,36.42992635311951,11.59609299698679,279.4938178664851,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34.0,76338.68,6608.556666666666,4.0,6.0,19.0,1.0,11.0,8.0,15.18,6.0,1,965.06,160.0,1,52.63006495939771,94.52589209234894,587.3997922984574,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42.0,156356.52,13152.71,4.0,7.0,7.0,2.0,23.0,9.0,8.31,1.0,2,489.85,354.0,0,245.771777259894,209.5306492293824,897.9213432988206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35.0,16253.0,1620.416666666667,8.0,7.0,24.0,9.0,30.0,16.0,7.54,6.0,0,1467.62,195.0,1,75.13662168225113,42.84359604229254,302.0045018462787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14.0,105150.2,8836.516666666666,8.0,3.0,13.0,4.0,21.0,17.0,14.46,7.0,1,1265.73,219.0,1,323.443242977122,109.87506409108973,122.61559318066531,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23.0,47050.41,4117.8675,3.0,7.0,19.0,5.0,22.0,18.0,12.77,5.0,1,1594.93,207.0,1,140.66984137185992,45.73234377885304,442.3998141176135,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18.0,37353.58,2926.7983333333336,6.0,9.0,34.0,8.0,15.0,13.0,18.51,11.0,0,3459.09,43.0,1,172.34493905891773,21.116885662287707,339.218008612128,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35.0,30132.24,2782.02,7.0,3.0,10.0,0.0,24.0,21.0,9.64,7.0,1,162.58,95.0,1,0.0,38.97852966578104,338.5963731331612,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,23808.75,1993.0625,8.0,7.0,8.0,0.0,22.0,13.0,19.79,1.0,1,7.87,306.0,1,0.0,54.32772927290687,237.59245435824988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.0,15604.56,1389.38,9.0,5.0,25.0,3.0,27.0,23.0,8.08,13.0,0,2686.18,235.0,1,37.91235014270589,25.98696170316056,221.96485199154915,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45.0,55062.87,4801.5725,9.0,8.0,18.0,6.0,23.0,17.0,4.01,12.0,0,1569.55,94.0,1,142.86111673245702,72.52697700826228,461.5313512166272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19.0,14639.215,1209.9345833333334,4.0,7.0,18.0,4.0,23.0,14.0,9.32,4.0,1,879.98,162.0,1,40.18862730473219,61.92828325672824,262.25063436912706,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46.0,83823.22,6841.2683333333325,3.0,5.0,11.0,1.0,14.0,10.0,7.31,0.0,2,184.71,249.0,0,41.30388915808158,49.08339035694296,344.0689891740832,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29.0,23550.47,1922.539166666667,4.0,6.0,15.0,4.0,15.0,15.0,15.1,4.0,1,937.64,260.0,1,63.242914306771496,32.0419378676644,210.9154318147669,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.0,9134.4,628.1999999999998,10.0,9.0,15.0,5.0,41.0,15.0,7.63,12.0,0,1640.86,164.0,1,36.93670397899825,0.0,272.8628889126573,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21.0,122782.95,10320.9125,1.0,6.0,3.0,3.0,8.0,8.0,1.18,7.0,2,304.27,391.0,0,210.2978746702373,87.78499832937368,927.3017819754492,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28.0,84001.66,6781.138333333332,1.0,3.0,11.0,3.0,0.0,6.0,6.05,0.0,2,201.67,264.0,0,168.69384163020084,90.42298716197264,584.4032524092814,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23.0,17096.48,1467.706666666667,3.0,4.0,5.0,0.0,15.0,10.0,0.97,7.0,2,728.06,259.0,0,0.0,32.70956262839483,351.55061000282257,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.0,34899.22,2764.268333333333,10.0,5.0,15.0,3.0,41.0,11.0,12.22,11.0,1,2103.76,97.0,1,78.96767711933936,54.66698417463811,402.79217203935593,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37.0,18431.8,1543.9833333333331,7.0,5.0,4.0,4.0,29.0,11.0,4.59,5.0,2,1405.43,354.0,0,52.69003965639821,22.982916693859803,253.7973734643414,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21.0,148699.32,12432.61,3.0,4.0,5.0,3.0,13.0,4.0,9.2,1.0,2,949.38,368.0,0,364.9151774048712,237.91838093113248,880.4274416639964,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26.0,32835.91,2499.3258333333342,1.0,3.0,1.0,0.0,14.0,4.0,11.27,3.0,2,671.88,239.0,0,0.0,19.029352071854632,420.7094427823508,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29.0,25355.14,1878.928333333333,8.0,4.0,12.0,3.0,9.0,8.0,4.49,3.0,1,172.56,190.0,0,38.23483307112723,14.822044833099287,330.11335808556464,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53.0,17572.15,1575.3458333333335,3.0,5.0,18.0,4.0,22.0,10.0,15.71,4.0,1,116.02,207.0,1,37.22258622031679,20.151589754777287,340.1604073582393,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55.0,49790.5,4060.208333333333,6.0,5.0,15.0,2.0,27.0,6.0,3.34,1.0,1,1021.5,203.0,2,63.07841790498636,53.71614225254405,108.0043312114688,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25.0,8422.385,873.8654166666665,3.0,5.0,14.0,4.0,12.0,23.0,12.61,13.0,1,62.66,92.0,2,18.912982049554977,27.32424519092544,307.2852559003193,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
